from,to,cost,,,
9,153,310.6,,,0
153,62,330.9,,,0
62,111,332.9,,,0
111,11,324.2,,,0
11,28,336,,,0
28,169,133.7,,,31
138,135,354.7,,,0
135,133,387.9,,,0
133,163,337.1,,,0
163,20,352,,,0
20,19,420.8,,,0
19,14,351.3,,,0
14,39,340.2,,,0
39,164,350.3,,,0
164,167,365.2,,,0
167,70,359,,,0
70,59,388.2,,,0
59,58,305.7,,,0
58,67,294.4,,,0
67,66,299.5,,,0
66,55,313.3,,,0
55,53,332.1,,,0
53,150,278.9,,,0
150,61,308.4,,,0
61,64,311.4,,,0
64,63,243.6,,,16
47,65,372.8,,,0
65,48,319.4,,,0
48,49,309.7,,,0
49,54,320.5,,,0
54,56,318.3,,,0
56,57,297.9,,,0
57,68,293.5,,,0
68,69,342.5,,,0
69,60,318,,,0
60,17,305.9,,,0
17,5,321.4,,,0
5,18,402.2,,,0
18,22,447.4,,,0
22,30,377.5,,,0
30,29,417.7,,,0
29,21,360.8,,,0
21,132,407.6,,,0
132,134,386.9,,,0
134,136,350.2,,,13
123,121,326.3,,,0
121,140,385.2,,,0
140,118,393,,,0
118,96,296.7,,,0
96,94,398.2,,,0
94,86,337.1,,,0
86,78,473.8,,,0
78,46,353.4,,,0
46,152,385.7,,,0
152,157,350,,,0
157,35,354.4,,,0
35,77,356.1,,,0
77,52,354.2,,,0
52,3,357.8,,,0
3,16,382.4,,,0
16,0,55.7,,,-42
42,12,335.1,,,0
12,139,328.8,,,0
139,168,412.6,,,0
168,154,337.3,,,0
154,143,370.7,,,0
143,10,6.3,,,-97
107,105,354.6,,,0
105,104,386.9,,,0
104,148,362.1,,,0
148,97,316.3,,,0
97,101,380.7,,,0
101,137,361.4,,,0
137,102,365.5,,,0
102,24,375.5,,,0
24,166,312.2,,,37
129,156,256.1,,,0
156,33,329.1,,,0
33,32,356.5,,,-59
91,89,405.6,,,0
89,147,347,,,0
147,15,351.7,,,0
15,44,339.5,,,0
44,41,350.8,,,0
41,43,322.6,,,0
43,100,338.9,,,0
100,83,347.9,,,0
83,87,327.2,,,0
87,88,321,,,0
88,75,335.8,,,0
75,51,384.8,,,0
51,73,391.1,,,0
73,71,289.3,,,40
31,155,260,,,0
155,34,320.4,,,0
34,128,393.3,,,-17
145,115,399.4,,,0
115,112,328.1,,,0
112,8,469.4,,,0
8,117,816.2,,,0
117,125,397.1,,,0
125,127,372.7,,,0
127,109,380.5,,,0
109,161,355.5,,,0
161,110,367.7,,,0
110,160,102,,,88
72,159,342.9,,,0
159,50,383.3,,,0
50,74,354.1,,,0
74,82,350.2,,,0
82,81,335.4,,,0
81,99,391.6,,,0
99,84,354.9,,,0
84,13,306.4,,,0
13,40,327.4,,,0
40,162,413.9,,,0
162,108,301.9,,,0
108,146,317.8,,,0
146,85,376.6,,,0
85,90,347,,,64
26,27,341.6,,,0
27,6,359.4,,,0
6,149,417.8,,,0
149,126,388,,,0
126,124,384.3,,,0
124,7,763.3,,,0
7,114,323.1,,,0
114,113,351.6,,,0
113,116,411.9,,,0
116,144,262,,,119
25,103,350.2,,,0
103,23,376.3,,,0
23,165,396.4,,,0
165,38,381,,,0
38,92,368,,,0
92,37,336.3,,,0
37,130,357.8,,,0
130,106,532.3,,,0
106,131,166.5,,,130
1,2,371.6,,,0
2,4,338.1,,,0
4,76,429,,,0
76,36,366.1,,,0
36,158,344.5,,,0
158,151,350.1,,,0
151,45,358.8,,,0
45,93,340.9,,,0
93,80,329.9,,,0
80,79,384.1,,,0
79,95,335.7,,,0
95,98,320.9,,,0
98,119,340.3,,,0
119,120,376.8,,,0
120,122,393.1,,,0
122,141,428.7,,,0
141,142,359.3,,,112
30,165,379.6,,,0
165,29,41.7,,,0
29,38,343.3,,,-27
65,72,297.9,,,0
72,48,21.5,,,31
17,153,375.6,,,0
153,5,256.3,,,-148
153,62,330.9,,,44
18,6,499.4,,,0
6,22,254,,,0
22,149,185.4,,,127
22,4,257.9,,,0
4,30,236.8,,,0
30,76,307,,,-19
95,98,320.9,,,0
98,144,45.1,,,99
45,93,340.9,,,0
93,106,112.2,,,-56
162,151,113.6,,,0
151,108,192.9,,,0
108,45,359.8,,,-101
146,92,311.2,,,0
92,85,343.9,,,0
85,37,373.2,,,24
13,169,326.2,,,0
169,40,96.1,,,-84
124,13,460.7,,,0
13,7,305.5,,,0
7,40,624.1,,,-84
124,169,145.2,,,0
169,7,631.5,,,-83
90,132,152.2,,,106
26,32,106.7,,,23
9,129,148.3,,,0
129,153,219.6,,,122
31,26,116,,,0
26,155,270.7,,,146
9,128,142.2,,,0
128,153,215,,,0
153,167,269.7,,,0
167,62,64.8,,,0
62,70,332.6,,,-54
124,169,145.2,,,0
169,7,631.5,,,-37
44,169,397.8,,,0
169,41,124,,,-3
44,124,375.7,,,0
124,41,243.9,,,0
41,7,519.4,,,1
6,14,289.3,,,0
14,149,259,,,0
149,39,206.9,,,-105
144,98,45.1,,,79
19,4,326.8,,,0
4,14,178.6,,,0
14,76,299,,,61
15,151,136.4,,,0
151,44,203.1,,,-1
45,106,260.6,,,0
106,93,112.2,,,73
20,165,132.5,,,0
165,19,289.2,,,-70
89,92,323.2,,,0
92,147,321.9,,,0
147,37,48.2,,,-96
133,91,152.8,,,0
91,163,313.6,,,13
150,71,221.1,,,0
71,61,89.6,,,-17
78,107,143.9,,,0
107,46,236.3,,,-58
104,147,277.5,,,0
147,148,84.7,,,128
20,101,201.2,,,0
101,19,534.4,,,0
19,137,245.5,,,129
8,42,759.5,,,0
42,117,58.9,,,73
44,42,342.3,,,0
42,41,102.5,,,-3
44,8,789.1,,,0
8,41,657.4,,,0
41,117,160.5,,,-51
168,167,172.4,,,0
167,154,165.2,,,11
143,128,81.9,,,0
128,10,88.2,,,-108
118,145,250.6,,,0
145,96,85.1,,,81
15,152,135,,,0
152,44,204.6,,,25
19,77,320.7,,,0
77,14,299.8,,,0
14,52,127.6,,,38
14,127,314.8,,,0
127,39,280.4,,,0
39,109,237,,,78
31,160,116.5,,,0
160,155,272.4,,,22
133,91,152.8,,,0
91,163,313.6,,,13
150,71,221.1,,,0
71,61,89.6,,,29
32,160,107.7,,,88
72,162,3274.4,,,0
162,13,554.5,,,-149
162,40,413.9,,,-25
65,72,297.9,,,0
72,48,21.5,,,35
13,42,319.8,,,0
42,40,40.7,,,32
8,42,759.5,,,0
42,117,58.9,,,109
8,13,450.3,,,0
13,117,378.5,,,0
117,40,64,,,-6
46,162,391.6,,,0
162,152,115.3,,,0
152,108,191.4,,,4
104,108,375.9,,,0
108,148,311.6,,,0
148,146,80,,,125
21,90,396.9,,,0
90,132,152.2,,,31
101,29,252.3,,,0
29,137,110.7,,,60
77,22,353.8,,,0
22,52,227.8,,,0
52,30,186.6,,,-97
127,18,425.2,,,0
18,109,439.1,,,0
109,22,135.5,,,-146
168,17,232.7,,,0
17,154,294.2,,,0
154,5,166.3,,,-73
78,107,143.9,,,0
107,46,236.3,,,-72
118,145,250.6,,,0
145,96,85.1,,,96
